DBN,School,District,Borough,Schoolnum,ThreeELA,ThreeMath,FourELA,FourMath,FiveELA,FiveMath,SixELA,SixMath,SevenELA,SevenMath,EightELA,EightMath,AllGradeELA,AllGradeMath
30Q017,P.S. 017 HENRY DAVID THOREAU,30,Queens,17,19.18,21.05,30.88,27.14,31.40,26.14,,,,,,,27.31,24.79
14K018,P.S. 018 EDWARD BUSH,14,Brooklyn,18,3.85,0.00,11.11,16.67,16.67,12.50,,,,,,,10.39,10.00
31R018,P.S. 018 JOHN G. WHITTIER,31,Staten Island,18,40.74,36.25,28.89,24.44,12.22,12.36,,,,,,,26.82,23.94
07X018,P.S. 018 JOHN PETER ZENGER,7,Bronx,18,21.84,30.00,23.81,31.03,11.88,12.50,,,,,,,18.75,23.84
06M018,P.S. 018 PARK TERRACE,6,Manhattan,18,35.14,33.33,10.81,7.69,22.58,28.13,6.12,4.08,15.00,11.90,19.05,39.53,17.37,20.08
26Q018,P.S. 018 WINCHESTER,26,Queens,18,72.87,68.66,75.53,76.60,55.95,53.57,,,,,,,69.06,66.99
01M019,P.S. 019 ASHER LEVY,1,Manhattan,19,63.64,57.58,41.38,50.00,53.13,46.88,,,,,,,53.19,51.61
11X019,P.S. 019 JUDITH K. WEISS,11,Bronx,19,44.64,39.29,29.63,34.62,33.33,47.54,34.04,53.19,56.90,52.54,65.31,55.10,43.83,46.91
24Q019,P.S. 019 MARINO JEANTET,24,Queens,19,30.69,30.19,36.18,31.67,27.21,31.68,,,,,,,31.35,31.17
31R019,P.S. 019 THE CURTIS SCHOOL,31,Staten Island,19,34.62,32.69,16.00,16.67,28.26,19.57,,,,,,,26.35,23.15
01M020,P.S. 020 ANNA SILVER,1,Manhattan,20,39.47,36.84,37.14,33.80,23.29,34.25,,,,,,,33.33,35.00
13K020,P.S. 020 CLINTON HILL,13,Brooklyn,20,51.02,43.75,30.00,21.95,36.96,48.89,,,,,,,40.00,38.81
25Q020,P.S. 020 JOHN BOWNE,25,Queens,20,51.49,62.91,45.96,65.57,46.33,71.86,,,,,,,47.79,66.86
31R020,P.S. 020 PORT RICHMOND,31,Staten Island,20,16.48,11.96,21.33,17.33,5.81,7.95,,,,,,,14.29,12.16
16K021,P.S. 021 CRISPUS ATTUCKS,16,Brooklyn,21,49.32,49.32,42.65,53.73,34.52,34.12,,,,,,,41.78,44.89
25Q021,P.S. 021 EDWARD HART,25,Queens,21,59.35,63.96,64.32,66.99,58.05,66.99,,,,,,,60.52,65.93
11X021,P.S. 021 PHILIP H. SHERIDAN,11,Bronx,21,9.43,9.62,25.47,25.71,14.71,12.87,,,,,,,16.56,16.13
31R022,P.S. 022 GRANITEVILLE,31,Staten Island,22,33.56,28.48,37.16,40.11,29.49,34.59,,,,,,,33.61,34.81
25Q022,P.S. 022 THOMAS JEFFERSON,25,Queens,22,55.04,65.19,57.69,68.97,56.91,65.91,,,,,,,56.54,66.75
14K023,P.S. 023 CARTER G. WOODSON,14,Brooklyn,23,39.39,30.30,6.52,10.64,29.17,29.17,,,,,,,22.33,21.15
31R023,P.S. 023 RICHMONDTOWN,31,Staten Island,23,61.45,71.08,55.74,67.21,64.47,69.74,,,,,,,60.91,69.55
10X023,P.S. 023 THE NEW CHILDREN'S SCHOOL,10,Bronx,23,13.25,12.94,15.49,20.55,5.75,5.75,,,,,,,11.20,12.65
15K024,P.S. 024,15,Brooklyn,24,15.46,21.78,11.93,19.09,15.09,33.33,,,,,,,14.10,24.84
25Q024,P.S. 024 ANDREW JACKSON,25,Queens,24,59.41,68.45,56.28,67.36,58.56,80.85,,,,,,,58.05,72.18
10X024,P.S. 024 SPUYTEN DUYVIL,10,Bronx,24,62.18,63.46,54.14,60.00,54.10,63.11,,,,,,,57.01,62.12
07X025,P.S. 025 BILINGUAL SCHOOL,7,Bronx,25,37.04,37.10,48.28,36.21,20.29,13.89,,,,,,,34.25,28.13
16K025,P.S. 025 EUBIE BLAKE SCHOOL,16,Brooklyn,25,62.50,60.00,25.00,6.67,5.00,30.00,,,,,,,28.85,32.00
16K026,P.S. 026 JESSE OWENS,16,Brooklyn,26,37.50,50.00,32.14,10.71,55.56,42.86,,,,,,,41.77,33.75
26Q026,P.S. 026 RUFUS KING,26,Queens,26,64.42,69.81,73.00,76.00,58.70,53.68,,,,,,,65.54,66.78
31R026,P.S. 026 THE CARTERET SCHOOL,31,Staten Island,26,57.69,61.54,29.17,37.50,26.09,40.91,,,,,,,38.36,47.22
09X028,P.S. 028 MOUNT HOPE,9,Bronx,28,22.45,29.59,25.21,31.15,27.00,29.91,,,,,,,24.92,30.28
16K028,P.S. 028 THE WARREN PREP ACADEMY,16,Brooklyn,28,16.67,15.15,24.00,4.17,25.00,25.93,,,,,,,21.52,15.48
06M028,P.S. 028 WRIGHT BROTHERS,6,Manhattan,28,33.66,47.06,20.18,29.20,23.23,36.89,,,,,,,25.57,37.42
31R029,P.S. 029 BARDWELL,31,Staten Island,29,52.67,50.00,50.78,57.81,70.63,53.97,,,,,,,57.92,53.89
15K029,P.S. 029 JOHN M. HARRIGAN,15,Brooklyn,29,75.00,70.63,73.73,74.79,81.48,80.49,,,,,,,76.15,74.62
25Q029,P.S. 029 QUEENS,25,Queens,29,29.20,36.52,50.00,57.02,36.44,37.70,,,,,,,38.42,43.59
05M030,P.S. 030 HERNANDEZ/HUGHES,5,Manhattan,30,24.24,12.12,21.05,7.02,24.24,5.71,,,,,,,22.76,8.00
31R030,P.S. 030 WESTERLEIGH,31,Staten Island,30,56.69,54.76,54.39,67.54,54.92,52.03,,,,,,,55.37,57.85
07X030,P.S. 030 WILTON,7,Bronx,30,26.60,15.63,12.22,6.67,5.56,1.15,,,,,,,14.96,8.06
26Q031,P.S. 031 BAYSIDE,26,Queens,31,56.63,55.81,54.84,64.52,43.75,67.50,,,,,,,51.95,62.55
14K031,P.S. 031 SAMUEL F. DUPONT,14,Brooklyn,31,63.08,65.15,70.67,64.94,59.09,82.35,,,,,,,64.56,70.62
31R031,P.S. 031 WILLIAM T. DAVIS,31,Staten Island,31,12.09,7.69,11.29,14.52,6.15,6.15,,,,,,,10.09,9.17
10X032,P.S. 032 BELMONT,10,Bronx,32,27.41,24.09,42.74,43.31,19.05,14.73,,,,,,,29.61,27.23
15K032,P.S. 032 SAMUEL MILLS SPROLE,15,Brooklyn,32,72.41,63.64,60.00,75.93,40.00,37.14,,,,,,,62.15,62.15
25Q032,P.S. 032 STATE STREET,25,Queens,32,57.75,72.60,66.23,78.98,64.52,70.44,,,,,,,62.97,74.03
31R032,P.S. 032 THE GIFFORD SCHOOL,31,Staten Island,32,62.38,67.65,57.84,54.90,51.28,53.91,,,,,,,56.88,58.62
02M033,P.S. 033 CHELSEA PREP,2,Manhattan,33,70.33,77.17,70.10,75.51,53.19,54.26,,,,,,,64.54,69.01
29Q033,P.S. 033 EDWARD M. FUNK,29,Queens,33,47.77,46.06,44.65,39.38,37.71,37.02,,,,,,,43.18,40.71
10X033,P.S. 033 TIMOTHY DWIGHT,10,Bronx,33,26.92,38.04,27.20,14.71,9.15,14.55,,,,,,,20.45,22.84
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,1,Manhattan,34,44.44,44.83,20.00,20.59,17.24,13.79,20.37,12.96,27.27,20.00,38.30,18.75,27.53,20.48
29Q034,P.S. 034 JOHN HARVARD,29,Queens,34,24.72,26.97,45.74,37.11,20.88,25.26,,,,,,,30.66,29.89
14K034,P.S. 034 OLIVER H. PERRY,14,Brooklyn,34,58.97,48.05,69.84,74.63,49.09,59.26,,,,,,,59.69,60.10
09X035,P.S. 035 FRANZ SIEGEL,9,Bronx,35,28.57,25.40,29.82,16.10,25.23,18.92,,,,,,,27.94,20.28
29Q035,P.S. 035 NATHANIEL WOODHULL,29,Queens,35,25.93,17.70,36.36,34.31,22.58,31.58,,,,,,,28.33,27.42
31R036,P.S. 036 J. C. DRUMGOOLE,31,Staten Island,36,73.43,61.97,68.42,54.48,59.75,63.52,,,,,,,66.90,60.23
05M036,P.S. 036 MARGARET DOUGLAS,5,Manhattan,36,31.48,41.51,7.41,10.91,14.00,14.29,,,,,,,17.72,22.29
29Q036,P.S. 036 SAINT ALBANS SCHOOL,29,Queens,36,45.12,21.43,27.47,30.43,25.97,20.78,,,,,,,32.80,24.51
08X036,P.S. 036 UNIONPORT,8,Bronx,36,23.48,33.61,27.55,35.92,33.98,39.62,,,,,,,28.16,36.28
31R038,P.S. 038 GEORGE CROMWELL,31,Staten Island,38,59.18,46.00,65.00,56.67,44.44,50.00,,,,,,,56.44,51.22
29Q038,P.S. 038 ROSEDALE,29,Queens,38,55.17,30.00,41.67,28.57,38.46,38.46,,,,,,,44.23,32.69
15K038,P.S. 038 THE PACIFIC,15,Brooklyn,38,60.66,58.33,51.56,46.03,47.37,54.39,,,,,,,53.30,52.78
15K039,P.S. 039 HENRY BRISTOW,15,Brooklyn,39,67.31,67.92,86.54,82.35,81.25,72.92,,,,,,,78.29,74.34
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,2,Manhattan,40,84.95,86.32,82.95,81.11,90.32,86.17,,,,,,,86.13,84.59
16K040,P.S. 040 GEORGE W. CARVER,16,Brooklyn,40,17.78,6.67,27.91,13.95,31.25,43.75,,,,,,,25.00,19.17
28Q040,P.S. 040 SAMUEL HUNTINGTON,28,Queens,40,14.71,18.45,23.08,32.05,16.85,19.10,,,,,,,17.84,22.59
26Q041,P.S. 041 CROCHERON,26,Queens,41,68.42,81.72,78.49,87.10,69.05,72.62,,,,,,,72.06,80.74
23K041,P.S. 041 FRANCIS WHITE,23,Brooklyn,41,18.00,9.80,5.56,9.09,8.77,10.34,7.25,8.82,10.87,6.52,30.30,5.71,11.97,8.63
02M041,P.S. 041 GREENWICH VILLAGE,2,Manhattan,41,81.82,76.36,87.39,86.49,83.18,88.68,,,,,,,84.15,83.79
11X041,P.S. 041 GUN HILL ROAD,11,Bronx,41,33.53,28.24,32.28,31.45,25.95,19.25,,,,,,,30.66,26.33
02M042,P.S. 042 BENJAMIN ALTMAN,2,Manhattan,42,69.77,79.23,60.48,81.10,56.25,76.92,,,,,,,62.20,79.07
09X042,P.S. 042 CLAREMONT,9,Bronx,42,14.29,10.81,23.44,24.62,11.29,15.15,,,,,,,16.33,16.59
31R042,P.S. 042 ELTINGVILLE,31,Staten Island,42,55.47,57.25,57.64,54.79,50.81,55.65,,,,,,,54.81,55.88
27Q043,P.S. 043,27,Queens,43,21.15,14.15,29.70,21.36,17.54,14.04,15.48,14.12,15.12,10.47,28.79,,21.08,14.98
07X043,P.S. 043 JONAS BRONCK,7,Bronx,43,31.51,36.00,16.90,16.90,27.59,35.00,,,,,,,25.25,29.13
12X044,P.S. 044 DAVID C. FARRAGUT,12,Bronx,44,32.43,20.51,21.05,15.38,4.88,0.00,,,,,,,18.97,11.76
13K044,P.S. 044 MARCUS GARVEY,13,Brooklyn,44,25.93,18.52,26.32,5.00,9.68,6.45,,,,,,,19.48,10.26
31R044,P.S. 044 THOMAS C. BROWN,31,Staten Island,44,6.47,2.88,12.03,11.85,12.23,12.86,,,,,,,10.22,9.18
27Q045,P.S. 045 CLARENCE WITHERSPOON,27,Queens,45,20.00,14.06,34.69,22.45,11.11,2.78,13.79,20.69,,,,,21.23,15.17
31R045,P.S. 045 JOHN TYLER,31,Staten Island,45,32.64,20.14,40.15,30.00,51.97,38.10,,,,,,,41.18,29.02
31R046,P.S. 046 ALBERT V. MANISCALCO,31,Staten Island,46,33.33,38.78,19.57,20.83,27.91,23.26,,,,,,,27.01,27.86
26Q046,P.S. 046 ALLEY POND,26,Queens,46,76.34,89.36,72.16,87.76,60.44,83.70,,,,,,,69.75,86.97
05M046,P.S. 046 ARTHUR TAPPAN,5,Manhattan,46,21.79,18.99,11.54,11.39,14.46,8.43,9.84,7.81,8.62,0.00,21.88,3.13,14.93,8.90
10X046,P.S. 046 EDGAR ALLAN POE,10,Bronx,46,18.28,25.89,18.95,24.74,8.78,5.19,,,,,,,15.84,19.63
13K046,P.S. 046 EDWARD C. BLUM,13,Brooklyn,46,26.00,34.00,39.53,43.18,16.95,10.00,,,,,,,26.32,27.27
27Q047,P.S. 047 CHRIS GALAS,27,Queens,47,55.17,51.72,75.00,80.00,62.96,44.44,37.50,50.00,62.50,87.50,60.00,48.00,59.20,56.00
12X047,P.S. 047 JOHN RANDOLPH,12,Bronx,47,25.13,20.29,21.13,13.43,13.77,13.45,,,,,,,20.36,15.89
08X048,P.S. 048 JOSEPH R. DRAKE,8,Bronx,48,15.53,10.19,20.51,21.31,10.75,5.26,,,,,,,15.97,12.92
20K048,P.S. 048 MAPLETON,20,Brooklyn,48,43.27,45.13,47.19,54.84,34.94,40.91,,,,,,,42.03,46.94
06M048,P.S. 048 P.O. MICHAEL J. BUCZEK,6,Manhattan,48,18.69,16.22,26.09,26.88,9.86,15.49,,,,,,,18.89,19.64
31R048,P.S. 048 WILLIAM G. WILCOX,31,Staten Island,48,70.10,63.27,73.28,64.66,68.57,70.48,61.48,66.94,53.33,60.00,73.49,58.33,66.72,64.33
28Q048,P.S. 048 WILLIAM WORDSWORTH,28,Queens,48,62.86,59.46,44.58,19.54,27.54,34.72,,,,,,,45.05,36.91
24Q049,P.S. 049 DOROTHY BONAWIT KOLE,24,Queens,49,53.39,55.08,49.60,52.42,50.70,65.73,55.04,56.25,56.49,54.55,62.14,58.65,54.28,57.28
07X049,P.S. 049 WILLIS AVENUE,7,Bronx,49,26.51,30.95,27.00,24.24,21.90,40.00,,,,,,,25.00,31.94
12X050,P.S. 050 CLARA BARTON,12,Bronx,50,,,,,11.32,19.30,,,,,,,11.32,19.30
31R050,P.S. 050 FRANK HANKINSON,31,Staten Island,50,66.46,73.58,76.60,77.62,60.58,66.67,,,,,,,67.89,72.73
28Q050,P.S. 050 TALFOURD LAWN ELEMENTARY SCHOOL,28,Queens,50,53.19,60.00,55.37,46.40,37.04,42.48,,,,,,,48.61,48.95
04M050,P.S. 050 VITO MARCANTONIO,4,Manhattan,50,33.33,20.00,20.00,38.46,3.33,6.45,22.73,9.09,7.41,0.00,10.00,3.45,15.85,12.65
10X051,P.S. 051 BRONX NEW SCHOOL,10,Bronx,51,25.00,25.00,35.48,38.71,35.71,17.86,,,,,,,32.18,27.59
02M051,P.S. 051 ELIAS HOWE,2,Manhattan,51,40.00,51.11,37.50,32.00,37.78,44.44,,,,,,,38.41,42.14
31R052,P.S. 052 JOHN C. THOMPSON,31,Staten Island,52,55.74,63.49,65.43,57.32,32.10,42.17,,,,,,,50.67,53.51
29Q052,P.S. 052 QUEENS,29,Queens,52,36.99,34.67,22.34,12.77,30.65,29.03,,,,,,,29.26,24.24
22K052,P.S. 052 SHEEPSHEAD BAY,22,Brooklyn,52,40.30,49.65,40.17,50.00,44.80,51.15,,,,,,,41.76,50.25
09X053,P.S. 053 BASHEER QUISIM,9,Bronx,53,37.10,38.02,38.42,48.09,30.69,28.28,,,,,,,35.33,37.87
31R054,P.S. 054 CHARLES W. LENG,31,Staten Island,54,51.79,50.44,53.72,63.93,43.48,59.13,,,,,,,49.71,58.00
28Q054,P.S. 054 HILLSIDE,28,Queens,54,24.74,31.63,28.75,27.16,27.85,25.00,,,,,,,26.95,28.19
13K054,P.S. 054 SAMUEL C. BARNES,13,Brooklyn,54,16.00,8.00,3.85,3.85,10.34,3.23,,,,,,,10.00,4.88
09X055,P.S. 055 BENJAMIN FRANKLIN,9,Bronx,55,18.10,11.32,5.88,13.68,12.75,12.50,,,,,,,11.96,12.54
31R055,P.S. 055 HENRY M. BOEHM,31,Staten Island,55,66.04,60.38,59.41,44.00,51.52,36.73,,,,,,,59.15,47.37
28Q055,P.S. 055 MAURE,28,Queens,55,42.25,33.33,37.84,46.67,29.17,36.11,,,,,,,36.41,38.81
27Q056,P.S. 056 HARRY EICHLER,27,Queens,56,43.96,35.79,59.41,52.43,31.40,39.77,,,,,,,45.68,43.01
13K056,P.S. 056 LEWIS H. LATIMER,13,Brooklyn,56,24.00,42.31,20.00,0.00,58.62,43.33,,,,,,,34.52,27.59
10X056,P.S. 056 NORWOOD HEIGHTS,10,Bronx,56,52.34,45.54,48.80,42.40,36.36,40.15,,,,,,,45.33,42.51
12X057,P.S. 057 CRESCENT,12,Bronx,57,27.42,12.70,19.72,16.90,16.67,16.67,,,,,,,20.52,15.65
31R057,P.S. 057 HUBERT H. HUMPHREY,31,Staten Island,57,24.55,22.32,16.22,21.43,22.92,8.33,,,,,,,21.14,17.81
09X058,P.S. 058,9,Bronx,58,17.28,20.22,10.77,10.14,10.53,10.17,,,,,,,13.30,14.29
15K058,P.S. 058 THE CARROLL,15,Brooklyn,58,77.21,75.56,86.84,82.76,70.10,76.00,,,,,,,78.39,78.06
02M059,P.S. 059 BEEKMAN HILL INTERNATIONAL,2,Manhattan,59,77.89,76.29,85.87,88.30,83.52,87.91,,,,,,,82.37,84.04
10X059,P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY,10,Bronx,59,16.35,13.54,8.89,15.05,12.50,15.12,,,,,,,12.77,14.55
14K059,P.S. 059 WILLIAM FLOYD,14,Brooklyn,59,37.50,26.19,33.33,22.50,11.76,5.71,,,,,,,28.32,18.80
31R060,P.S. 060 ALICE AUSTEN,31,Staten Island,60,47.33,23.31,48.94,46.15,45.45,34.42,,,,,,,47.18,34.88
27Q060,P.S. 060 WOODHAVEN,27,Queens,60,41.43,50.48,51.93,56.52,39.74,57.23,,,,,,,44.46,54.43
12X061,P.S. 061 FRANCISCO OLLER,12,Bronx,61,11.36,10.64,12.50,8.33,24.00,20.00,,,,,,,16.20,13.10
08X062,P.S. 062 INOCENSIO CASANOVA,8,Bronx,62,26.26,31.13,14.71,25.71,20.18,19.64,,,,,,,20.32,25.39
09X063,P.S. 063 AUTHOR'S ACADEMY,9,Bronx,63,35.51,33.63,52.05,51.35,29.63,20.65,,,,,,,38.31,34.05
27Q063,P.S. 063 OLD SOUTH,27,Queens,63,44.95,49.55,48.10,55.14,43.38,52.89,,,,,,,45.55,52.61
27Q064,P.S. 064 JOSEPH P. ADDABBO,27,Queens,64,52.94,41.75,41.58,47.17,36.75,33.87,,,,,,,43.44,40.54
09X064,P.S. 064 PURA BELPRE,9,Bronx,64,,,,,11.48,15.50,,,,,,,11.48,15.50
01M064,P.S. 064 ROBERT SIMON,1,Manhattan,64,20.69,25.81,22.50,32.50,19.05,34.09,,,,,,,20.72,31.30
19K065,P.S. 065,19,Brooklyn,65,42.71,61.62,51.75,50.86,35.65,37.93,,,,,,,43.38,49.55
07X065,P.S. 065 MOTHER HALE ACADEMY,7,Bronx,65,18.33,29.51,20.69,13.33,13.33,8.33,,,,,,,17.79,17.75
27Q066,P.S. 066 JACQUELINE KENNEDY ONASSIS,27,Queens,66,45.00,37.50,41.89,61.33,43.02,46.51,,,,,,,43.33,48.13
12X066,P.S. 066 SCHOOL OF HIGHER EXPECTATIONS,12,Bronx,66,16.13,17.53,20.39,17.14,13.89,25.00,,,,,,,17.16,19.42
13K067,P.S. 067 CHARLES A. DORSEY,13,Brooklyn,67,23.08,10.53,25.49,20.75,19.05,9.52,,,,,,,23.42,15.18
12X067,P.S. 067 MOHEGAN SCHOOL,12,Bronx,67,20.00,17.50,24.14,30.68,13.04,9.78,,,,,,,18.92,19.23
11X068,P.S. 068 BRONX,11,Bronx,68,32.46,12.93,25.20,26.02,32.06,27.48,,,,,,,29.89,22.43
24Q068,P.S. 068 CAMBRIDGE,24,Queens,68,43.44,39.52,26.92,30.77,41.90,35.19,,,,,,,37.76,35.42
31R069,P.S. 069 DANIEL D. TOMPKINS,31,Staten Island,69,56.33,51.57,52.83,57.23,35.46,50.70,,,,,,,48.69,53.26
30Q069,P.S. 069 JACKSON HEIGHTS,30,Queens,69,53.41,57.22,59.89,53.85,53.37,51.26,,,,,,,55.49,54.01
08X069,P.S. 069 JOURNEY PREP SCHOOL,8,Bronx,69,56.96,51.25,44.58,47.56,23.60,41.30,,,,,,,41.04,46.46
30Q070,P.S. 070,30,Queens,70,41.91,40.15,43.07,39.16,40.13,49.02,,,,,,,41.65,42.96
09X070,P.S. 070 MAX SCHOENFELD,9,Bronx,70,17.79,20.74,16.00,12.93,8.37,10.81,,,,,,,14.04,14.75
24Q071,P.S. 071 FOREST,24,Queens,71,37.31,37.78,56.30,57.55,32.77,45.00,,,,,,,42.53,46.95
08X071,P.S. 071 ROSE E. SCALA,8,Bronx,71,38.89,29.10,42.78,43.56,42.78,42.16,39.78,64.61,33.86,35.00,52.73,51.25,41.61,43.97
08X072,P.S. 072 DR. WILLIAM DORNEY,8,Bronx,72,21.30,16.36,32.20,22.12,24.22,21.88,,,,,,,25.99,20.23
09X073,P.S. 073 BRONX,9,Bronx,73,11.20,4.88,12.38,7.27,13.51,14.29,,,,,,,12.32,8.70
23K073,P.S. 073 THOMAS S. BOYLAND,23,Brooklyn,73,,,,,13.79,3.45,,,,,,,13.79,3.45
03M075,P.S. 075 EMILY DICKINSON,3,Manhattan,75,33.33,31.43,60.61,52.94,42.65,50.00,,,,,,,45.32,44.66
32K075,P.S. 075 MAYDA CORTIELLA,32,Brooklyn,75,17.54,3.51,16.67,15.07,7.69,7.84,,,,,,,14.36,9.39
03M076,P.S. 076 A. PHILIP RANDOLPH,3,Manhattan,76,10.64,8.51,12.50,18.60,20.51,12.82,31.82,16.28,13.95,6.82,28.57,7.84,19.85,11.61
11X076,P.S. 076 THE BENNINGTON SCHOOL,11,Bronx,76,22.50,20.13,22.60,14.44,12.99,18.44,,,,,,,19.26,17.57
30Q076,P.S. 076 WILLIAM HALLET,30,Queens,76,27.54,26.47,19.05,17.19,17.39,20.29,,,,,,,21.39,21.39
11X078,P.S. 078 ANNE HUTCHINSON,11,Bronx,78,24.03,21.37,26.45,25.81,18.45,19.61,,,,,,,23.23,22.41
25Q079,P.S. 079 FRANCIS LEWIS,25,Queens,79,72.78,60.23,66.27,70.86,51.75,66.43,,,,,,,64.24,65.85
10X081,P.S. 081 ROBERT J. CHRISTEN,10,Bronx,81,72.60,73.24,58.82,56.98,50.67,66.22,,,,,,,60.52,64.94
16K081,P.S. 081 THADDEUS STEVENS,16,Brooklyn,81,15.56,17.78,25.58,25.58,34.88,13.64,,,,,,,25.19,18.94
28Q082,P.S. 082 HAMMOND,28,Queens,82,28.72,23.47,38.46,31.78,25.00,11.88,,,,,,,30.87,22.55
11X083,P.S. 083 DONALD HERTZ,11,Bronx,83,36.31,39.18,40.96,38.18,32.42,35.71,34.98,44.20,46.51,40.09,38.39,34.65,38.37,38.85
04M083,P.S. 083 LUIS MUNOZ RIVERA,4,Manhattan,83,54.29,50.70,40.32,34.92,36.07,60.66,,,,,,,44.04,48.72
14K084,P.S. 084 JOSE DE DIEGO,14,Brooklyn,84,39.47,34.21,34.88,29.55,16.67,10.00,18.97,6.78,14.55,5.36,,,25.71,17.89
03M084,P.S. 084 LILLIAN WEBER,3,Manhattan,84,72.06,76.06,49.25,40.30,43.94,41.18,,,,,,,55.22,52.91
30Q084,P.S. 084 STEINWAY,30,Queens,84,54.55,69.70,37.25,23.53,27.03,52.50,,,,,35.71,42.86,38.52,44.93
10X085,P.S. 085 GREAT EXPECTATIONS,10,Bronx,85,18.18,14.38,15.09,8.02,3.77,2.99,,,,,,,12.29,8.38
30Q085,P.S. 085 JUDGE CHARLES VALLONE,30,Queens,85,65.98,64.95,72.60,66.67,62.16,64.86,,,,,,,66.80,65.43
10X086,P.S. 086 KINGSBRIDGE HEIGHTS,10,Bronx,86,35.42,44.16,42.98,47.79,27.68,34.76,21.54,43.07,,,,,32.36,42.45
32K086,P.S. 086 THE IRVINGTON,32,Brooklyn,86,12.70,8.06,11.76,19.23,24.64,24.64,,,,,,,16.94,17.49
11X087,P.S. 087 BRONX,11,Bronx,87,32.98,23.47,28.07,26.96,25.47,32.38,,,,,,,28.66,27.67
03M087,P.S. 087 WILLIAM SHERMAN,3,Manhattan,87,76.61,67.72,88.98,88.98,70.09,77.36,,,,,,,78.80,77.78
24Q088,P.S. 088 SENECA,24,Queens,88,43.79,38.46,37.35,35.67,31.01,26.09,,,,,,,37.32,33.40
11X089,P.S. 089 BRONX,11,Bronx,89,30.47,29.03,31.54,30.08,22.43,26.47,17.36,29.10,28.99,22.01,33.81,20.47,27.54,26.01
19K089,P.S. 089 CYPRESS HILLS,19,Brooklyn,89,20.93,15.91,24.39,15.22,13.51,10.00,20.37,14.55,22.45,7.84,25.45,12.73,21.51,12.71
24Q089,P.S. 089 ELMHURST,24,Queens,89,37.64,37.26,54.23,44.14,39.67,40.51,,,,,,,43.67,40.50
27Q090,P.S. 090 HORACE MANN,27,Queens,90,45.83,36.00,45.59,48.91,28.10,32.79,,,,,,,40.05,39.58
10X091,P.S. 091 BRONX,10,Bronx,91,29.20,19.66,31.03,28.93,14.44,24.73,,,,,,,25.71,24.47
24Q091,P.S. 091 RICHARD ARKWRIGHT,24,Queens,91,44.76,40.19,35.85,35.51,33.33,31.19,,,,,,,37.89,35.60
17K091,P.S. 091 THE ALBANY AVENUE SCHOOL,17,Brooklyn,91,26.83,19.05,33.85,25.76,28.81,28.33,,,,,,,30.30,25.00
17K092,P.S. 092 ADRIAN HEGEMAN,17,Brooklyn,92,22.22,16.44,23.73,16.95,8.00,8.11,,,,,,,17.48,13.59
12X092,P.S. 092 BRONX,12,Bronx,92,12.00,2.50,8.33,6.67,6.56,4.84,,,,,,,9.24,4.28
30Q092,P.S. 092 HARRY T. STEWART SR.,30,Queens,92,20.13,19.74,19.40,26.12,13.33,24.53,,,,,,,18.04,23.21
05M092,P.S. 092 MARY MCLEOD BETHUNE,5,Manhattan,92,11.63,2.38,21.62,18.42,28.89,43.48,,,,,,,20.80,22.22
08X093,P.S. 093 ALBERT G. OLIVER,8,Bronx,93,26.53,17.31,31.71,16.67,20.34,13.33,,,,,,,25.50,15.58
13K093,P.S. 093 WILLIAM H. PRESCOTT,13,Brooklyn,93,11.90,6.98,28.95,28.95,44.44,45.95,,,,,,,27.59,26.27
26Q094,P.S. 094 DAVID D. PORTER,26,Queens,94,71.43,66.07,75.76,73.13,54.39,63.79,,,,,,,67.60,67.96
10X094,P.S. 094 KINGS COLLEGE SCHOOL,10,Bronx,94,22.81,10.99,20.31,19.19,12.21,10.11,,,,,,,18.50,13.62
15K094,P.S. 094 THE HENRY LONGFELLOW,15,Brooklyn,94,35.10,57.59,30.30,54.77,21.62,43.56,,,,,,,29.23,52.28
29Q095,P.S. 095 EASTWOOD,29,Queens,95,50.41,51.01,49.54,42.22,37.70,43.30,,,,,,,45.65,45.57
10X095,P.S. 095 SHEILA MENCHER,10,Bronx,95,25.35,15.38,35.29,33.06,25.00,19.23,21.97,20.59,22.79,15.67,28.15,3.53,26.26,18.62
21K095,P.S. 095 THE GRAVESEND,21,Brooklyn,95,58.82,65.00,54.24,55.37,42.99,51.79,28.57,60.00,12.20,26.83,48.94,31.91,46.41,52.67
27Q096,P.S. 096,27,Queens,96,53.85,46.15,36.36,40.00,45.00,40.00,,,,,,,44.72,41.94
04M096,P.S. 096 JOSEPH LANZETTA,4,Manhattan,96,45.00,30.95,4.76,0.00,13.21,13.21,8.16,4.35,10.42,3.85,19.61,1.89,16.25,8.68
11X096,P.S. 096 RICHARD RODGERS,11,Bronx,96,37.33,30.92,30.25,29.70,26.06,34.91,,,,,,,31.03,31.89
11X097,P.S. 097 BRONX,11,Bronx,97,43.48,39.66,41.59,49.56,18.81,27.45,,,,,,,35.26,39.27
27Q097,P.S. 097 FOREST PARK,27,Queens,97,41.90,51.79,43.10,47.11,44.90,44.12,,,,,,,43.26,47.76
06M098,P.S. 098 SHORAC KAPPOCK,6,Manhattan,98,16.30,12.77,16.67,10.75,14.04,24.14,,,,,,,15.90,14.69
